"V-rep data recorded 05/05/17 08:47:58 "
"% Right Stride Frequency   = 0"
"% Left Stride Frequency    = 0"
"% Phase (Fractional)   = 0"
"% velroach+telem Vrep sim"
"Motor Gains = [ 1.000,  1.000,  1.000,0,0,  1.000,  1.000,  1.000,0,0]"
"% Columns: "
"% time | LPos | RPos | LRef | RRef | LPWM | RPWM | GyroX | GyroY | GyroZ | AX | AY | AZ | LEMF | REMF | BAT "
  370001,    -7714,    18988,     3605,   -29163,   -77.1,   -49.5,   -700,   -235,    758,  -113,    -92,    -28,   5.455,   8.234, 912
  380000,    -7113,    19805,     4588,   -28180,   -87.8,   -66.4,   -747,   -216,    830,  -492,   -450,   -625,   5.760,   7.832, 912
  390000,    -6487,    20791,     5571,   -27197,   -63.8,   -91.3,   -676,   -249,    933,  -337,   -431,   -211,   6.003,   9.449, 912
  400001,    -5833,    21707,     6554,   -26214,   -16.1,   -56.9,   -551,   -316,   1009,   -42,   -492,   -235,   6.274,   8.782, 912
  410000,    -5185,    22712,     7537,   -25231,    33.9,   -24.0,   -406,   -360,   1037,    31,   -444,   -674,   6.212,   9.643, 912
  420000,    -4532,    23772,     8520,   -24248,    70.5,   -30.2,   -309,   -374,   1018,   305,   -649,  -1061,   6.259,  10.156, 912
  430001,    -3857,    24709,     9503,   -23265,    58.4,   -53.8,    -15,   -189,    966,   754,   -328,     84,   6.473,   8.983, 912
  440000,    -3152,    25724,    10486,   -22282,    44.0,   -54.9,    493,    188,    845,   239,     32,    140,   6.757,   9.733, 912
  450000,    -2435,    26769,    11469,   -21299,   -14.2,   -47.6,   1102,    575,    734,   -75,    664,  -2520,   6.872,  10.024, 912
  460001,    -1710,    27695,    12452,   -20316,   -53.7,   -22.1,   1339,    826,    667,  -206,    341,  -2685,   6.954,   8.874, 912
  470000,     -974,    28639,    13435,   -19333,   -71.1,   -29.3,   1209,    918,    684,  -477,    647,  -1845,   7.056,   9.047, 912
  480000,     -222,    29513,    14418,   -18350,   -50.7,   -47.6,    958,   1013,    768,  -165,    507,    628,   7.211,   8.378, 912
  490001,      547,    30397,    15401,   -17367,   -54.8,    -5.9,    981,   1057,    865,   -23,   -241,   1208,   7.366,   8.483, 912
  500000,     1333,    31348,    16384,   -16384,   -77.2,    17.6,   1061,   1024,    929,   164,   -527,   -299,   7.543,   9.109, 912
  510000,     2114,    32308,    17368,   -15400,   -98.1,    25.1,    802,    978,    946,    36,   -579,  -1218,   7.484,   9.211, 912
  520000,     2921,   -32287,    18351,   -14417,  -134.6,    19.1,    243,    918,    864,   464,   -703,   -859,   7.740,   9.017, 912
  530000,     3687,   -31390,    19334,   -13434,  -178.2,     1.7,   -570,    824,    774,   887,    573,  -1172,   7.346,   8.603, 912
  540001,     4482,   -30476,    20317,   -12451,  -256.7,   -40.5,  -1182,    564,    715,   951,    392,  -1592,   7.615,   8.758, 912
  550001,     5279,   -29543,    21300,   -11468,  -299.7,   -58.4,  -1046,    137,    702,  1856,    481,  -3626,   7.646,   8.953, 912
  560001,     6114,   -28563,    22283,   -10485,  -329.0,   -60.9,   -474,   -137,    748,  2254,   -630,  -9791,   8.004,   9.394, 912
  570000,     6905,   -27585,    23266,    -9502,  -279.2,   -46.1,     84,   -260,    793,  2790,  -1593, -14605,   7.586,   9.374, 912
  580000,     7771,   -26635,    24249,    -8519,  -212.3,   -31.0,     80,   -258,    825,  3378,  -1316, -13767,   8.296,   9.107, 912
  590000,     8643,   -25664,    25232,    -7536,  -132.6,   -19.5,   -388,   -226,    807,  3725,   -440, -10668,   8.367,   9.309, 912
  600001,     9488,   -24640,    26215,    -6553,   -52.7,    -4.4,  -1134,   -226,    710,  3790,     49,  -7114,   8.099,   9.819, 912
  610001,    10389,   -23693,    27198,    -5570,   -16.7,    24.7,  -1792,   -150,    596,  3410,   1160,  -4173,   8.634,   9.081, 912
  620001,    11239,   -22742,    28181,    -4587,   -11.0,    45.9,  -2182,   -121,    447,  2458,   -373,  -2019,   8.150,   9.111, 912
  630000,    12117,   -21771,    29164,    -3604,   -19.4,    23.1,  -2109,   -193,    344,  1683,   -375,  -2216,   8.425,   9.310, 912
  640000,    13014,   -20813,    30147,    -2621,   -27.4,    -4.1,  -1761,   -315,    273,   828,  -1698,  -3019,   8.594,   9.188, 912
  650000,    13888,   -19924,    31130,    -1638,   -30.7,    -5.1,  -1292,   -399,    294,  -385,  -2088,  -3413,   8.379,   8.524, 912
  660001,    14773,   -18899,    32113,     -655,   -25.9,   -35.1,  -1072,   -339,    291,  -773,  -2086,  -2712,   8.485,   9.827, 912
  670001,    15673,   -17872,   -32440,      328,   -35.7,   -34.8,   -826,   -260,    208,  -532,    981,   -385,   8.627,   9.844, 912
  680001,    16570,   -16827,   -31457,     1311,   -48.5,   -50.5,   -550,   -154,    121,  -644,   1853,  -1581,   8.601,  10.018, 912
  690000,    17477,   -15550,   -30474,     2294,   -28.8,   -77.8,   -113,    -45,    -17, -1278,    103,  -2693,   8.700,  12.243, 912
  700000,    18386,   -14784,   -29491,     3277,   -45.3,   -53.6,    307,     44,   -222, -1558,    184,  -2842,   8.711,   7.342, 912
  710000,    19296,   -14003,   -28508,     4260,   -34.7,   -62.9,    951,    132,   -397, -1540,   1139,  -3374,   8.727,   7.494, 912
  720001,    20214,   -13320,   -27525,     5243,  -135.5,   -23.4,   1589,     91,   -536, -1679,    870,  -4264,   8.797,   6.545, 912
  730001,    21070,   -12233,   -26542,     6226,  -242.1,    -2.4,   1256,   -544,   -567, -1588,    250,  -5246,   8.206,  10.425, 912
  740001,    21959,   -11356,   -25559,     7209,  -258.0,    23.6,    345,  -1293,   -573, -2633,    -62,  -7623,   8.524,   8.408, 912
  750000,    22858,   -10810,   -24575,     8193,  -194.2,    18.6,   -628,  -1706,   -521, -2689,    436,  -6779,   8.617,   5.230, 912
