"V-rep data recorded Tue 25 Oct 2016 12:21:03 PM PDT "
"% Right Stride Frequency   = 0"
"% Left Stride Frequency    = 0"
"% Phase (Fractional)   = 0"
"% velroach+telem Vrep sim"
"Motor Gains = [ 1.000,  1.000,  1.000,0,0,  1.000,  1.000,  1.000,0,0]"
"% Columns: "
"% time | LPos | RPos | LRef | RRef | LPWM | RPWM | GyroX | GyroY | GyroZ | AX | AY | AZ | LEMF | REMF | BAT "
  370000,   -10580,   -30567,    -9138,   -29163,    -0.0,    -0.0,   -679,    619,   1605,   838,   -814,  -4573,   9.712,   9.465, 912
  380000,    -9644,   -29567,    -8155,   -28180,    -0.0,    -0.0,  -1179,    117,   1296,  1060,   -858,  -4225,   8.977,   9.583, 912
  390000,    -8651,   -28588,    -7172,   -27197,    -0.0,    -0.0,   -846,    411,    421,  1193,   -378,  -3921,   9.522,   9.386, 912
  400000,    -7675,   -27602,    -6189,   -26214,    -0.0,    -0.0,  -1110,    310,     38,   789,    -40,  -3655,   9.360,   9.459, 912
  410000,    -6693,   -26613,    -5206,   -25231,    -0.0,     0.0,  -1142,    144,    277,   704,    -46,  -3981,   9.416,   9.478, 912
  420000,    -5743,   -25596,    -4223,   -24248,    -0.0,     0.0,  -1255,    197,    360,   310,   -676,  -3863,   9.101,   9.747, 912
  430000,    -4735,   -24588,    -3240,   -23265,    -0.0,     0.0,  -1524,      3,    384,  -280,   -540,  -3697,   9.664,   9.666, 912
  440000,    -3761,   -23633,    -2257,   -22282,    -0.0,     0.0,  -1441,    -47,    509,  -476,    105,  -4231,   9.341,   9.159, 912
  450000,    -2797,   -22621,    -1274,   -21299,    -0.0,     0.0,  -1476,     74,    464,  -655,     50,  -4103,   9.245,   9.704, 912
  460000,    -1831,   -21573,     -291,   -20316,    -0.0,     0.0,  -1438,    110,    313,  -521,    -95,  -4252,   9.263,  10.041, 912
  470000,     -848,   -20627,      692,   -19333,    -0.0,    -0.0,  -1190,    127,      6,  -341,    118,  -4264,   9.419,   9.073, 912
  480000,      186,   -19691,     1675,   -18350,    -0.0,    -0.0,   -841,    128,   -576,  -363,    284,  -4166,   9.913,   8.974, 912
  490000,     1166,   -18661,     2658,   -17367,    -0.0,    -0.0,   -742,    200,  -1233,  -642,    535,  -4469,   9.400,   9.870, 912
  500000,     2142,   -17733,     3641,   -16384,    -0.0,    -0.0,   -294,     76,  -2191,  -601,    539,  -4278,   9.354,   8.899, 912
